[0.000	79.883]
 SPEAKER_02	" 개방의  순기능만  강조를  하셨고  그  점에  대해서는  저도  전적으로  동감합니다. 재미있는  것이  뭐가  되는가  하면  우리나라에서  외국에  대해서  배울  때 것을  배우지  않고  나쁜  것을  배워갖고  이렇게  악용하는  부분들이  우리  안에  분명히  있는  건  사실입니다.  그  부분에  대해서  우리  의사  선생님들은  그  이전에  기업인들과는  다른  플레이를  보여주리라고  저는  기대를  합니다마는 지금  현재  이  개방  국면  도하  선언에  따른  의료  서비스  개방  문제를  보고  지금  다섯  개  의료  관계  단체들이  지금  조율이  잘  안  되는데  제가  사실은  오늘  오기  전에  제가  지금  굉장히  이  부분에  있어서는  아마추어이긴 그  저기  뭡니까  각  그  단체의  홈페이지에  들어가  봤어요.  쭉  봤는데 보면  홈페이지  전면에  이렇게  나와  있는  글들을  보니까는 이제  한마디로  저는  조금  실망했습니다.  뭐가  되는가  하면 같은  일이  국민  건강에  궁극적으로  어떻게  되느냐에  대한  조금은  거시적이고 생명을  책임지고  있는  분들이  항상  내세우는  국민  건강의  수호자라는  그  위상에  맞게 이렇게  심층적으로  걱정하는  글들이  좀  있기를  바랬는데  거기에  대해서  각  이해관계라든가  이런  설문조사가  전면에  뜨고 각  단체가  예외가  없더라고요.  결국은  뭐가  되는가  하면  의사  선생님들은  걱정을  환자  걱정을  안  하고  의사  선생님들  자신부터  걱정을  한다  하는  이런  생각을  하게  되는  것이  우선  그렇고  그러니까  결국  이걸  갖고  국민들이  제가  볼  때  이  의료  시장  개방  문제를  갖고  국민적  관심이  커지지  않는  가장  중요한  이유는  결국은  의사들끼리  얘기다. 이런  식으로  하는  무관심  부분의  하가  분명히  있다는  겁니다."

[1699.698	1756.027]
 SPEAKER_00	" 강  교수님. 북한에서 중요한  건  없을  겁니다.  아마.  쌀이  공공성이  대단히  많은  거죠.  쌀이  공공성으로  하는  거죠.  그런데  농민들이  왜  농사를  제대로  안  짓습니까? 왜  북한에서도 제도만  좋으면  작업자족  할  수  있을  텐데  왜  그렇게  굶주립니까?  결국은  유인이  없기  때문에  그러죠.  열심히  일하면  고통을  잘  참고  이기면  그만큼  보수가  나온다.  그래서  열심히  일을,  자기  것이  돌아오면  열심히  일하고  수학을  많이  낼  텐데.  그렇기  때문에  자기  옆에  텃밥만  있고  협동조합을  노는  일을  안  하는  거죠.  우리  사람은  그게  기본적인  사람들의  성향입니다.  의사  선생님을  또  보통  하면  어려운  수술이면  거기에  대한  보수를  충분히  지급을  해야  되는데  그런  사람이나  피부과  의사나  성형외과나  안과나  똑같이  지급을  합니다.  결국  그러고  보면  누가  그런  일을  하겠냐  말이죠.  그런"

[1731.575	1756.027]
 SPEAKER_01	" 그렇기  때문에"

[1755.554	1756.027]
 SPEAKER_02	" 그런  거.  결국"

[1756.145	1756.027]
 SPEAKER_00	" 결국  북한  사람과  같이  굶주려야  돼요.  우리  대한민국"

[1759.435	1756.027]
 SPEAKER_02	" 우리  대한민국  의사  선생님들은  북한의  굶주리는  농민과  비교한다는  것을  얼마나  많이  받아들일지는  잘  모르겠습니다만.  좋은  의료  서비스가  부족한  것은"

[1764.970	1756.027]
 SPEAKER_00	" 잘  모르겠습니다만.  좋은  의료  서비스가  부족한  것은  북한의  쌀이  부족한  것과  비슷하다  이겁니다."

[1769.965	1756.027]
 SPEAKER_02	" 그렇군요."

[1770.202	1850.037]
 SPEAKER_01	" 의료인  입장에서요.  지금  홍  박사님께서도  의사들이  너무  자기들  입장에서만  이  문제를  접하는  거  아닌지  말씀을  하시지만  사실은  저희들이  국민  보건을  책임지고  있는  사람들이기  때문에  꼭  그렇지는  않고요. 말씀드렸지만  WTO가  분명히  세계화라든지  경쟁을  통한  어떤  질의  향상이라든지  수가의  저하라는  어떤  이점도  있지만  저희들이  우려하는  것은  진짜  의료인으로서  지금  의료  시장이라고  하는  것이요.  지금  세계적인  흐름이  유럽식이냐  미국식이냐  하는  게  해결되지  않은  과제가  있습니다.  사실은  이게  뭐냐면  유럽은  국가가  적극적으로  개입을  해서  국민들이  의료  접근에  불편함이  없도록  국가가  굉장히  통제를  하는  스타일이고  미국식은  이게  굉장히  자유방위  혐의리고  시장  경쟁이  바뀌는  원리거든요.  그런데  불행히도  우리나라는  지금  미국식이  많이  도입이  돼  있고  최근에  우리가  전국민  의료보험을  시행을  하면서  유럽이  들어와서  국가가  국민의  어떤  건강을  책임지겠다고  하는  어떤  좋은  취지로  시작이  되고  있습니다.  여러  가지  부작용도  있지만  이  WTO  체제  문제라는  것도  결국은  제가  생각할  때는  그런  문제도  기착할  수가  있다고  지금  생각을  하는  거거든요.  그래서  한의사  입장에서  이  시장  개방  문제에  접근도  하셔야  되겠지만  정말  보건의료인으로서  우리나라의  보건의료  체계를  어떤  식으로  가져가야  국민들이  저렴하게  의료에  접근할  수  있고  진짜  질이  향상될  수  있겠냐  하는  문제도  같이  고민해야  될  문제입니다.  네,  이  박사님"

[1849.126	1850.037]
 SPEAKER_03	" 네,  이  박사님  말씀하십시오."

[1851.978	1850.037]
 SPEAKER_05	" 너무  초반에  진도가  빨리  나가는  것  같습니다.  제가  말을  참  끊고  들어가기가  힘들었는데"

[1855.640	1850.037]
 SPEAKER_06	" 것  같습니다."

[1861.529	1885.812]
 SPEAKER_05	" 왕  교수님한테  하나  여쭤보겠습니다.  아까  쌀  말씀을  하셨는데요. 어떤  노력과  대가라는  그  구도가 적용이  되겠죠.  부분적으로.  그런데 추구와  공공의료라는  게 같이 정도  상전이  된다고  생각을  하십니까?"

[1887.668	1915.630]
 SPEAKER_00	" 그러니까  결국은  큰  차이는  없다고  봅니다. 왜냐하면  어떤  경쟁이  있어야  발전하는  거고  어떤  유인이  없이는  거기에  공급이  많아지지  않는다는  겁니다.  유인이  충분히  있어야  사람들이  그걸로  가는다는  겁니다.  지금  왜  공과대학생들이  우리나라  부족합니까?  그리고  공급  졸업해야  좋은  직장에  보장이  안  되고  봉급도  별로  적고 때문에  사회적으로  대우가  안  좋으니까  안  가는  거죠.  그리고  말장하십니까?"

[1917.048	2017.775]
 SPEAKER_05	" 생각에  그런  것  같습니다.  지금  WTO  얘기를  하다가  잠깐 무슨  약간  이렇게 이렇게  쳐졌는데요. WTO  체제가  들어오느냐  마느냐가  결국은  영리성과  공공의료  서비스  간에  균형을  얼마만큼  잡느냐가  문제인  것  같고요.  제가  생각할  때는.  그리고 의료단체도 추구 공공의료  옛날에  이렇게  두  가지가  따로  떨어져  있던  거가 어떻게  하나로  잘  묶어가지고  어떤  하나도  처지지  않게 추구하고  국민도  편안해야  되고  공공의료도  더  이상  처지지  않고 가는  모든 다  잡는  그런  도구로서  하나  WTO  체제가  도입이  아마  필요하다고  생각하고  있는  것  같습니다. 저희  치과계  말씀을  드리면은  사실  공공의료  분야가  상당히  굉장히  취약한  부분입니다. 지역보건법  같은  경우를  보면 있는  보건소  중에  아직도  한  20 %  정도는 배치되어  있지  않습니다. 보건복지부나  그런  행정기관의  의견을  낼  때도 이렇게  공공의료  부분이  다른  부분에  비해서는  굉장히  취약한  상태인데 추구하는  해외 들어와가지고  고부가  가치의  전문화  진료를  할  때  그럼  이  처진  공공의료는  누가  담당할  거냐 어느  정도 정책적으로  좀  채워주고 정도  경쟁력이  있게  해놓고 봐가면서  이렇게 그걸  두  개를  좋아해야  되지  않겠는가  하는 주장을  하고  있는  것입니다.  네."

[2018.213	2127.918]
 SPEAKER_02	" 우리  이  선생님께서  제가  생각하는  원망을  너무나  잘  표현해  주셔서 굉장히  고맙습니다만  한  가지  아까  우리  왕선생님께서 얘기를  하셨는데요. 우리나라 되려고  하는  인센티브를 우리  왕선생님께서는  주로  금전적  내지는  물질적  또는  사회의  신분적인  어떤  그런  인센티브를  주로  생각하셨을  겁니다. 지금  가령  제가  볼  때는  일종의  가치관이  빈곤인데요. 그렇다고  그런  식으로  인센티브를  계속  공급하다  보면  의료인이  된다  또는  생명을  위해서  봉사한다는  데  대해서  도덕적인  인센티브가  굉장히  지금까지  제가  볼  때는  지금  우리나라의  의학  교육 보게  될  때 면에서  우리  사회자께서도  법을  전공하시긴  합니다만 다루는  두  분야  우리나라에서  그러니까  법  분야하고  의료  분야의  인센티브는  지금까지  철저하게  제가  볼  때는  빈곤한  가치에  의해서  유지되어  왔다는  말입니다.  저는  그  물질적  인센티브가  없어야  된다는  얘기는  전혀  아닙니다.  당연히  해야  되고 법이나  의료인들이  일반  대학  졸업자들보다  대체로  어느  나라든지  간에  수입이  한  두세  배는  맞는  건  사실입니다. 그런데  저희  같은  경우에는 면에서는  의사분들은  제가  이렇게  쭉  더  주다  보니까  의사나  변호사라든가  어쨌든  사람  몸에  관련된  분들의  소득  수준이  실질적으로  보게  되면  이게  엄청나게  높아요. 그  정도  돼서도  인센티브가  그러니까  다른  국민들을  볼  때 정도  바꿔도  이거  우리  못  받는다라고  얘기하면  참  다른  국민들을  어떻게  지내야  됩니까?  그런  부분에  있어서는"

[2128.171	2144.995]
 SPEAKER_08	" 의료인의  입장에서  지금  WTO  개방이  오르냐  안  오르냐  이걸  얘기를  해야  되는데 의사가  잘  됐냐  못  됐냐  지금  이  말씀을  잠깐  하신단  말이에요. 그러니까  아까도  근본  첫  위에  우선  왕  교수님께  의사로서  의사답지  못하게  보인  거에  대해서  죄송스럽게"

[2145.299	2144.995]
 SPEAKER_06	" 부끄럽습니다."

[2147.915	2199.788]
 SPEAKER_08	" 저희  집안이  50년  넘어  부친  때부터  의사를  해왔지만 이  사회의  도움에  의해서  생존해오고  병원도  키워온  겁니다. 그것이  이  사회를  위해서  좋은  일에  쓰이기를  항상  기대하면서  사는  게  의료인이고 재벌이  돼서  무슨  병원을  큰  회사를  짓거나  이런  적은  없습니다.  번  돈을  다  의료의  새로운  기계,  새로운  시설,  새로운  병원을  설립하면서  이때까지  해왔습니다. 그  점을  국가가  도와준  적  없고  세금을  도와준  적  없고  왕  교수님이나  다른  부자가  도네이션  해준  적  없습니다. 다  의사들이  번  돈에  의해서 위해서  전부  그  자리에  만들어져  있습니다. 이거를  망각하시고  의사는  우선  무언가  내  마음에  섭섭하게  하고  있다고  생각하시는  걸로  얘기하시면 WTO로  가야겠어요.  그런데  제가  보기에는  의사는  그렇게  근본적으로  좋은  사람이지"

[2195.418	2199.788]
 SPEAKER_03	" 그런데"

[2200.278	2199.788]
 SPEAKER_08	" 나쁜  사람은  아니라는  얘기를  하고  싶습니다."

[2201.189	2199.788]
 SPEAKER_03	" 아니라는  얘기를  하고  싶습니다.  WTO로  가자고  하셨으니까  잠시  쉬고  잠시  뒤에  WTO로  가도록  하겠습니다."

[2210.926	2271.068]
 SPEAKER_04	" 지금  우리나라  헌법  36조에  보면  국민의  건강을  국가가  보호하거나  책임지게끔  되어  있습니다.  그런  헌법조항이  있음에도  불구하고  현재  우리나라  국가  예산에서  보건으로  예산이  차지하고  있는  게  0 .3 %밖에  안  되고  거기다가  민간  병원이  90 %  이상을  차지하고  있고  또  우리가  다다리  보험료를  내지만  실제  병원에  갔을  때 외래  같은  경우에  67 %를  또  본인이  부담을  해야  되거든요. 거기다가  또  숙과  체계가  행위별로  되어  있기  때문에  이게  이제  국가가  의료를  책임지고  있지  못하고  또  행위별  숙과제라는  것들이  국민들한테  많은  의료  부담을  가중시키고  있거든요.  그래서  현재  우리가  볼  때는  한국의  의료  시장이  상당히  돈벌이  중심이고  영리  중심으로  가고  있거든요.  이런  상태에서  만약에  외국  의료  기관이  들어오고  또  과잉  경쟁이  더욱더  심화되었을  때 10 %  남짓한  의료의  공공성도 파괴될  수밖에  없다라고  생각을"

[2272.486	2305.966]
 SPEAKER_03	" 그  시장  개방으로  인한  공공성  파괴에  대한  우려의  말씀을  잠시  들어보았는데요. WTO에  관한  논의를  좀  구체화해서  논의를  진행하고자  한다면  결국  그  쟁점은  두  가지로  요약할  수  있을  것  같습니다. 번째는  지금  그  비영리  형태로  묶여져  있는  병원의  운영이라든가  그  경영을 투자를  적극적으로  유치해야  할  것인지에  대한  여부가  있을  것  같고요. 다른  한  가지  분야는  의료  인력에  대한  부분인데 인력의  어떤  해외  유출  또는  유입을  좀  자유롭게  하는  것이  옳은  것이냐  아니냐  이렇게  두  가지  아니겠습니까?"

[2306.118	2305.966]
 SPEAKER_07	" 네,"

[2306.523	2305.966]
 SPEAKER_03	" 교수님  말씀하십시오."

[2308.244	2407.199]
 SPEAKER_07	" 공공성  훼손의  문제가  나오고  염려,  또  우려의  목소리가  나오는데 우리나라에  진정한  공공의료가  있습니까?  저는  그거부터  대단히  의심스럽습니다. 비영리법인은  대부분의  병원들은  다  민간인들이  세운  거고 존립을  위해서는  반드시 포장되었지만  이익금을  내야지만 생존할  수  있게  돼  있습니다. 전부  공공기관임에도  불구하고 어떻게  하든지 돈을  들여서  최대의  이익을  창출하려고  노력하고  있습니다. 워낙  박하기  때문에 역시  진정  공공의료기관이  아니고 보건소마저  경쟁력을  갖추라고  해서 뛰어들어서 검진을  해준다든가  그런  걸로 자체가  또  이익금을  남기려고  노력까지  하고  있습니다. 우리나라에 존재합니까?  공공의료라는  것은 공공의료를  하는  나라에서  살아보면  국가에서  세금을  거둬서  그  예산을  가지고 예산  만침  쓰는  것입니다. 적자가  나든  흑자가  나든 운영함으로써  비슷하게  맞춰가면서 창출에  관계없이  사는  것입니다. 우리가  가지고  있는  그  10 %의  공공기관도  지금은 남기려고  애를  쓰고  있습니다. 아까도  얘기했지만  90 %의  병원이라든가  의료기관은 민간인들에  의해서  세워졌습니다.  국가가  세운  게  아니라 구조를  보면 공공의료라는  것은  더  이상  떨어질래야  떨어질  수도  없는  상태입니다. WTO가  와서  공공의료가  망가진대요.  그런데  망가질  게  뭐가  더  남은  게  있습니까?  제가  보기에 국가에서  아까도  얘기했지만 한  은행에  쓸  의지가  있다면  국민들을  위해서  한  10조쯤  써보라  이겁니다. 뭘  탓게  뭐가  있습니까?  이"

[2405.528	2409.612]
 SPEAKER_03	" 뭘 박사님  보건소에  관한  부분  걱정하셨었죠?"

[2411.317	2507.335]
 SPEAKER_05	" 아까  말씀드렸다시피  지금  보건소가 우리나라  상황에서는  최  말단,  최  전선에  서  있는 공공의료기관을  대표하고  있다고  생각합니다. 예방  업무,  교육  업무  그런데  주  저거를  하고  있죠.  그런데  어떤  경제적으로  좀  모자란다든지  좀  낮은  분들은  공공의료시설을  이용할  수밖에  없는  상황입니다. 그런데 공공의료기관이 지역보건법의  의무는  반드시  치과의사  한  명이 하고  있게  돼  있습니다.  그런데  지금  치과의사가  아까  말씀드렸다시피  20 %  정도의  보건소에는  배치류를  되고  있지  못하는  사정이  있고요.  또  거기에  더군다나  치과가 혼자  진료하는  건  아니지  않습니까? 치과의사는  같은  파트너와  같이  진료를  하는데 예산  문제  때문에  그런  인력이 있지는  못하죠. 그러면 없는데 주민들은  어디를  가야  되겠습니까?  민간병원으로  가야죠. 민간병원으로  가서  진료  순서를  기다려서  진료를  하셔야  되는데 민간병원이 고  부가가치만을  쫓는 병원이  들어오면 것은 이치거든요. 그분들은 도움을  받지  못하고 의료마저도 받지  못하는  그런  사태가  발생될  수  있다는  말씀입니다.  네,  홍교수님."

[2506.390	2543.026]
 SPEAKER_03	" 네,  홍교수님.  철학자께  한  가지  질문을  올리겠습니다. 현행  우리나라  법에는  병원의  설립은  비영리로  하도록  되어져  있습니다. 아마도  그  뜻은  제가  무죄에서  잘  모르겠습니다만 공공성이라고  하는  기조를  유지하고자  하는  뜻이  아닌가라는  생각을  해보는데요. 지금  일각에서는  그것에  관한  규제를  풀어서  규제라는  표현이  어떨지  모르겠습니다만  영리법이나  하는  것을  허용을  하여서  투자를  적극적으로  유치하는  것이  의료  서비스  개선에  도움이  될  것이다.  이런  주장이  있단  말이죠.  철학자께서  보시기에  이러한  주장에  대해서는  어떤  의견을  갖고  계십니까?  철학자가"

[2543.026	2543.026]
 SPEAKER_02	" 절대  의료  전문가보다  더  잘  볼  수는  없을  겁니다.  그  점에  있어서는  철학에  관한  문제이니까요.  철학의  문제라기보다도  이런  것이  되어  있습니다.  우선  제가  WTO  개방이  된다고  했을  때  우려되는  것은  일단  저희  지표는  의료를  필요로  하는  사람으로서의  문제고"

[2548.612	2543.026]
 SPEAKER_03	" 철학에  관한  문제이니까요."

[2563.327	2632.328]
 SPEAKER_02	" 때  일단은  뭐가  되는가  하면 당장 병이라든가 원치  않는  죽음이나  고통을  당할  수  있는  1차적인  치료에  대한  접근은  기본적으로  보장을  하고  개방을  하라는  겁니다. 그러니까  다시  말해서  저는  안  선생님  말씀에  동의합니다만  안  선생님  말씀에  동의합니다만  우리나라의  공공보건의료기관의  병상수  기준이  제가  이렇게  보니까  아까  선생님께서  10 %  더  내려갈  때도  없다.  9 .8 %  내리는데  제가  외람되지만  알아본  걸로는  9 .8  내지  15 %  정도가  되는데  OECD  국가  중에서는  제일  낮더라고요. 그렇게  됐다고  했을  때  가령  미국하고  비교해봐도  미국이  그렇게  사적으로  하는데도  미국이  병원수로는  25 .1 %  이래서  우리보다는  한  2배쯤  높게  돼  있고 비하면  더  비교가  안  되죠.  그렇게  됐을  때  제가  말씀하는  게  이런  겁니다.  뭐가  되는가  하면  일단  국민들이  1차적인  진료를  받을  수  있는  지금까지  홀만  남은  공공의료  부분을  강화하라는  겁니다."

[2619.976	2632.328]
 SPEAKER_00	" 됐을  때"

[2632.767	2678.971]
 SPEAKER_02	" 그리고  나서  그  다음에  아까  왕  교수님께서  말씀하셨지만 의료기술이  발달이라든가  이런  건  경쟁을  해야  되거든요.  그럴  때는  많은  투자가  필요하고  국가가  그걸  갖다가  가령  지금  어느  면에서는  상당할  정도로  첨단  투자가  몇  개  있지  않습니까?  BT니  N티니  하는  이런  부분들 부분들에  대해서는  유유자본을  끌어들일  수  있도록  그거는  완전  경쟁을  하자는  거죠.  그  말씀은  영리  법인을  허용할  수도  있다는  말씀이신가요?  당연하죠.  그러니까  조건부라는  겁니다.  제가  볼  때는  모든  국민들이  1차적인  진료  원치  않는  고통과  죽음을  맞을  수  있게  되는  기회를  대폭  줄여주고  난  다음에  그  다음에  고도에  그리고  특수하고  다양한  의료서비스  부분들  이런  부분들은  제가  볼  때는  경쟁으로  충분히  풀"

[2678.971	2701.432]
 SPEAKER_03	" 있다는  것.  지금  잠깐만요.  교수님  말씀하신  부분과  관련해서  저희가  인터뷰를  해보았습니다.  잠시  보고  논의를  계속하겠습니다. 그러면  이제는  노박사님께  병원  경영자  입장에서 영리화를  찬성하시는지  만약에  찬성하신다면  그것이  의료서비스  개선에  어떻게  도움이  될  거다라고  생각하시는지  여쭙겠습니다."

[2701.769	2712.468]
 SPEAKER_08	" 지금  우선 저는  허용하는  걸  찬성하는  사람입니다.  그  이유는 한  사람이  가진  돈이  선생님  생각하시는  것처럼  많지가  않습니다."

[2712.468	2712.468]
 SPEAKER_06	" 그럴  수  있겠죠."

[2713.177	2788.034]
 SPEAKER_08	" 그러니까  그  돈들을  모이면  주라는  형태로  가지고  있게  되면  그러나  인간은  세  명의  주인이  있으면  그  밑에  노예는  자유인이라는  로마의  경언이  있습니다.  그러니까  주인을  우리가  현명한  리더를  하나  만들어서 자본으로  만들어서  효율적인  의료를  서비스하는  겁니다.  그거는  효율적이라는  말은  커스트  이펙티브하다는  얘기입니다. 적게  들면서  효율적인  서비스를  하고  싶다는  건데  이것을  각각의  의원들에게  맡겨놓다  보니까  비효율적인  요소가  너무  많다.  이게  아까  말씀드린  의사는  그렇게  하고  싶지만  제도가  안  돼서 시스템이  잘못돼  있기  때문에  우리가  국민에게  만족할  만한  진료를  못하고  있는 WTO  개방체제로  이거는  한국만의  법이  아닙니다. 세계  공통의  법을  만드는  거니까 법에  우리는  대통령도  어떻게  할  수가  없어요. 이거는  내  마음대로가  아니라  울산  시장의  역할  정도밖에  안  된단  말이에요.  지구촌에서  보면.  그러니까  국제  룰에  딸게  되면  우리가 고쳐지는  한국의  시스템이  좀  더  개선되는  시스템으로  되지  않겠냐는  게  개방을  원하는  거고  영리법인을  허용하는  거를  원하는"

[2788.034	2811.389]
 SPEAKER_03	" 그런데  천  박사님  이런  건  어떨지  모르겠습니다. 영리법인을  허용한다는  주장을  말씀해  주셨는데요. 또  주주의  형태로  투자를  하게  하자라는  말씀하셨는데 말씀은  곧  듣기에  따라서는 기업처럼  표현이  어떨지  모르겠습니다만  세칭  장사꾼처럼  운영될  수도  있다는  우려도  생길  수  있을  것  같거든요.  어떻습니까?"

[2811.389	2884.947]
 SPEAKER_01	" 현실적으로요.  영리법인이  설립이  되고  또  고급  진료가  돼야  될  필요성  사실은  또  있습니다.  왜냐하면  지금  상당  부분  고급  진료가  해외로  유출이  되고  있거든요.  국내에서보다는  국외에  나와서  수술을  받거나  치료하고  오는  경우가  많고 또  문제는  거기에  따른  문제가 대만  같은  경우에는  병원들이  영리법인한테서 사람들  의사들을  만나보면  하소연하는  것이  의사가  어떤  의료인으로서  독립적인  기능을  하는  것보다는  그야말로  기업  내에서  어떤  사원  입장에  불과하다. 어떤  영리법인을  운영하는  주체에  의해서  의사의  진료권이  상당히  위축을  받을  수  있다고  하는  부작용을  나타내고  있습니다.  그래서  우리가  이  문제를  고민하는  것은  참  두  마리  토끼를  다  잡아야  된다고  하는  의미가  있습니다.  그래서  고급화도  해야  되겠고  또  공공성도  보장을  해야  되겠고  또  그러면서도  의사가  독립적으로 행사할  수  있는  존중도  받아야  되겠는데  기업화가  되다  보면  아무래도  기업에서  이익을  중시하는  풍토에  의해서  어떤  시스템이  움직이기  때문에  개개인의  어떤  의료인에서의  어떤  이런  독립성은  조금  훼손될  우려도  사실은  현실적으로  있다고  봅니다.  홍  교수님."

[2884.947	2884.947]
 SPEAKER_03	" 병원이  기업화가  되면  지금  천  박사님  말씀처럼  의사가  그  사원의  입장으로  전락할  수도  있을  것도  같고  그렇다면  뭐랄까요?  공공성은  그만큼  담보되기가  어렵지  않느냐라는  우려도  가능할  것  같은데.  제가"

[2897.333	2982.502]
 SPEAKER_02	" 제가  의사가  아니라서  구체적인  상황에  대해서는  뭐라고  얘기할  입장은  아니겠습니다.  그런데  한  가지만  좀  말씀을  드리면  말이죠.  의사의  대상은  아까도  제가  계속 당연히  의료상품이라는  측면도  있지만 상품도  대체할  수  없는  일회성  생명을  다루고  있다는  측면도  분명히  있다는  겁니다. 때  공공성,  그러니까  저는  우리나라  병원들이,  의원분들이  이런  어떤  생명의  관리  측면에서  전국적인  연대  시스템을  갖는  것은  저는  100 %  환영을  합니다.  그리고  그  시스템을  갖고  저는  외국  의료시장까지도  저는  넘볼  수  있다는  생각이  들거든요.  그렇다면  무슨  일인가  하면  한국  의사들,  환자들한테  분명히  책임을  지는  훈련이  돼  있다.  그리고  그것을  잘  효율적으로  그  나름대로  치료를  했던  그게  있다.  그러면  설사  한  국내에서,  국내에서  결국  의사는  승부를  뭘로  걸어야  됩니까?  잘  고친다는  걸로  승부를  내야  되지  않겠습니까?  그럴  때  결국은  공공성과  영리성을  단기간의  입장에서  상충되는  걸로  보지  말고 의사들이  그  나름대로  생명에  대한  도덕적인  존엄성과  아울러  고도의  의학  기술을  발달시키는  일종의  하나의  장으로  봐서  한국  전체를  말하자면  일종의  글로벌한  일종의  의료  포럼으로  만들어서  세계  시장  경제에  한번  나서  보자는  거죠."

[2982.502	2982.502]
 SPEAKER_03	" 네,  논의가  지금  뜨거워지고  있는데요.  지금  시각  8시  48분입니다.  난상토론  잠시  후  뵙겠습니다."

[2982.856	2982.502]
 SPEAKER_02	" 논의가  지금"

[2988.796	2982.502]
 SPEAKER_03	" 전에  의료시장  개방으로  인하여서  또  특히  병원이  영리법이나  될  때  있을  수  있는  문제점을  잠깐  보았는데요.  안  교수님,  이러한  우려첨에  대하여서  교수님께서는  어떤  생각을  갖고  계시는지요?"

[3001.081	3065.138]
 SPEAKER_07	" 윤리적인  문제를  자꾸  들고  오시는데 그러면  한번 허용하는  나라, 지구상의  순수  자본주의  국가  미국의  예를  들어보겠습니다.  그러면 행하여지고  있는  의료의  수준이 우리보다 수준이 그러지  않습니다. 더  다른  사회적  감시  기능에  의해서 높을  수가  있지. 낮지  않고 교수님  말씀대로 하면서 공공의료를  잘  보호하고  있다. 그게  우리가  나가야  될  길  아닙니까,  지금? 개방을  하면 서비스질이  올라가고 아까  치과  선생님,  저  이병두  의사장님께서  말씀하신  대로 그렇게  몰락할  염려가  있다면 계층에서 접근할  데가  없다면  그것이  바로  정부의  역할  아닙니까? 우리가  국가에서  하지를  않기  때문에  그런  거지. 이  자리에서  좀  더  국가에서  보건  이쪽  정책에 더  많이  써달라고  부탁을  드리고  싶습니다."

[3065.915	3065.138]
 SPEAKER_03	" 말씀하시죠."

[3068.328	3128.099]
 SPEAKER_01	" 다른  분야에서는  그렇지  않다고  저는  믿고  있고  또  이제  한의사로서  한의계의  입장을  말씀을  드려본다면  현실적으로  일어나고  있는  일입니다. 한의학이  아직까지도  국민들한테  접근하기가  어려운  분야로  지금  남아있고  인식이  되고  있습니다만  저희들이  상당히  가슴  아픈  현실이  지금  한의과  대학이  전국에  11개  대학이  있습니다.  그런데  이게  불행하기도  전부  사립학교입니다. 우리가  끊임없이  정부에다가 요구를  하고  있습니다만  사립대학의  지금까지의  어떤  한의학을  연구하고  발전하고  진료하는  형태를  봤을  때  저희들이  문제점으로  지적을  하는  겁니다. 이  재투자가  잘  안  됩니다. 결국은  사립병원이라고  하는  사립학교의  부속병원이라고  하는  역할이  공익성보다는  아무래도  사립학교  재단을  위한  학교가  되고  병원이  되고  있다는  데  저희들은  상당히  가슴  아픈  현실을  겪고  있습니다.  그렇다면  앞으로  이렇게  의료  영리  법인화가  된다고  했을  때  이런  부작용도  우리가  충분히  감안을  하고  지금  말씀하신  대로  국가의  기능이  개입이  돼야  된다고  보는  것이죠."

[3128.470	3209.943]
 SPEAKER_00	" 박수님. 우리나라  전체  연구비가 존스  학습지  대학의  연구비보다  작다고  합니다.  존스  학습지  대학이  뭡니까?  미국에서  제일  좋은  병원을  가지고  있죠. 사실  우리나라  의료수준이  많이  떨어지는데  그  이유가 연구할  시간이  없고  연구비가  별로  없는  겁니다.  연구비에 그런  의학  같은  데서는 연구비가  많이  들지  않겠어요? 걸  하려면  돈이  있어야  되는  겁니다.  그러면 기자제도  그렇지만  그런  걸  하려면  결국  영리  법인이  아니고는  그런  돈을  마련할  수가  없는  거죠.  정부가  그걸  주겠습니까? 정부가  할  일은  이런  게  있습니다.  첫째는  공공성  때문에  그런데  첫째는 사람, 사람을  위해서  정부가  그런  사람한테  의료  서비스를  갖도록  해줘야  됩니다.  어떤  방안이든.  둘째는 게 사람을  낳지  않으면  그  병이  전염하지  않습니까?  이래서  공공성이  있는  겁니다.  그래서  그런  전염병을  정부가  예방하고  치료하는  문제. 아까  1차적으로  정부가  해야  된다고  하는데  1차적인  것이  아니고  그렇게 그런  서비스는  그건  정부에서  해야  되고 또  하나  중요한  건  그런  전염병이라든가  이런  것들이  또  그런  것들이  공공성이  있기  때문에 병원이라든가  특히  연구하는  문제라든가 전염성이  있는  문제를  치료하는  문제  이런  데서는  정부가  과감하게  지원을  해야"

[3209.943	3209.943]
 SPEAKER_03	" 봅니다.  정부의  역할을  말씀하셨으니까  지금  저희가  정부  관계자와  전화를  연결했습니다."

[3210.095	3209.943]
 SPEAKER_00	" 봅니다.  정부의  역할을"

[3217.013	3209.943]
 SPEAKER_03	" 죄송하고요.  하시고자  하셨던  질문의  내용을  잠시  여쭬  수  있겠습니까?  답변은  그렇습니다만."

[3222.987	3291.972]
